门店名称,省份,城市,城市等级,区域,周边1km小区数量,周边中小学数量(500m),周边交通枢纽数量(300m),商业配套数量(500m),商务办公数量(500m),餐饮店数量(500m),Cluster_ID,聚类标签,画像名称
味知香半成品,上海市,上海市,一线城市,黄浦区,168,9,6,16,2,108,3,4,成熟社区型
味知香半成品菜延庆店,上海市,上海市,一线城市,徐汇区,439,17,2,20,11,274,2,3,校圈便利型
味知香专柜(徐汇区龙华菜市场店),上海市,上海市,一线城市,徐汇区,89,4,0,14,0,17,0,1,商务综合型
上海市康兴菜市场味知香方便菜专卖店,上海市,上海市,一线城市,徐汇区,84,13,3,10,1,41,3,4,成熟社区型
味知香(虹珠市场店),上海市,上海市,一线城市,长宁区,0,13,2,20,3,115,3,4,成熟社区型
味知香半成品菜(新渔东路店),上海市,上海市,一线城市,长宁区,138,11,3,24,18,179,2,3,校圈便利型
味知香长顺店,上海市,上海市,一线城市,长宁区,211,12,6,34,6,268,2,3,校圈便利型
味知香半成品菜(芷江西路店),上海市,上海市,一线城市,静安区,282,9,4,24,5,129,2,3,校圈便利型
味知香半成品菜(镇宁旗舰店),上海市,上海市,一线城市,静安区,335,13,1,18,6,133,2,3,校圈便利型
味知香(半成品店),浙江省,嘉兴市,二线城市,平湖市,49,3,4,16,2,45,0,1,商务综合型
味知香(高资店),江苏省,镇江市,三线城市,丹徒区,15,2,0,21,5,97,0,1,商务综合型
味知香(宝华大道店),江苏省,镇江市,三线城市,句容市,28,1,2,15,3,142,0,1,商务综合型
